,User,Date,Tweet Count,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score
499,@FoxNews,2018-08-01 14:55:00+00:00,99,".@SteveHiltonx: ""You hear the critics of @POTUS say, 'He's starting this trade war.' No, it was @BillClinton who st… https://t.co/OBb6qAMFIs",-0.5267,0.0,0.804,0.196
399,@CBSNews,2018-08-01 07:18:04+00:00,99,Kroger threatens to ban Visa cards https://t.co/L5I1I0hmgK https://t.co/ZzUrK4HFEg,-0.7351,0.0,0.492,0.508
99,@nytimes,2018-08-01 02:02:03+00:00,99,"A giant colony of 500,000 breeding pairs of king penguins has lost 90% of its population since 1982, according to a… https://t.co/0R7powHbgN",-0.3182,0.0,0.897,0.103
299,@BBCWorld,2018-07-31 00:44:23+00:00,99,Fast fashion: Inside the fight to end the silence on waste https://t.co/u6PCrBbNCm,-0.6597,0.0,0.649,0.351
199,@cnn,2018-08-01 13:33:01+00:00,99,One of Australia's largest hotel chains has been fined $2.2 million for trying to prevent negative TripAdvisor revi… https://t.co/3wptwghRST,-0.5574,0.05,0.78,0.17
398,@CBSNews,2018-08-01 07:33:04+00:00,98,"Iowa teen seriously hurt in ""Kiki"" challenge gone wrong https://t.co/YLl8ggmDsj https://t.co/SwNxTtBj2D",-0.7845,0.079,0.424,0.497
498,@FoxNews,2018-08-01 15:08:00+00:00,98,"Flames consume a home as the River Fire tears through Lakeport, California. https://t.co/5UMEK4NCBw",-0.5106,0.0,0.699,0.301
98,@nytimes,2018-08-01 02:17:03+00:00,98,"RT @nytpolitics: Alex Jones, the founder of InfoWars, is seeking over $100,000 in court costs from the parents of Noah Pozner, who died at…",-0.5574,0.0,0.865,0.135
198,@cnn,2018-08-01 13:40:06+00:00,98,"The Trump administration is making it easier to obtain coverage through short-term health insurance plans, which do… https://t.co/FKaObm5dWm",0.4215,0.141,0.859,0.0
298,@BBCWorld,2018-07-31 00:54:45+00:00,98,UK man's rape conviction quashed in Sydney https://t.co/RXY0qDtVjG,-0.6908,0.0,0.598,0.402
97,@nytimes,2018-08-01 02:32:03+00:00,97,"It has been a bruising time for Billboard, involving allegations of editorial interference and inappropriate behavi… https://t.co/ss2uVoGjOC",0.0,0.0,1.0,0.0
297,@BBCWorld,2018-07-31 01:52:42+00:00,97,"RT @bbcweather: #Winterlude will feel like a distant memory by this weekend, especially for those in the southern half of the country where…",0.3612,0.106,0.894,0.0
197,@cnn,2018-08-01 13:50:40+00:00,97,"President Trump says his attorney general, Jeff Sessions, should end special counsel Robert Mueller's investigation… https://t.co/HwIatDbt0j",0.4019,0.153,0.847,0.0
497,@FoxNews,2018-08-01 15:16:10+00:00,97,Trump urges Attorney General Sessions to end Russia probe https://t.co/s7RZvoad0O,0.0,0.0,1.0,0.0
397,@CBSNews,2018-08-01 07:48:03+00:00,97,"Wraps and salads sold at Kroger, Trader Joe's recalled due to parasite concern https://t.co/YTssU6gyZR https://t.co/7WiASGIylx",0.0,0.0,1.0,0.0
296,@BBCWorld,2018-07-31 02:25:20+00:00,96,"North Korea 'working on new missiles', US officials say https://t.co/N84Oc6IKIS",0.0,0.0,1.0,0.0
96,@nytimes,2018-08-01 02:47:00+00:00,96,A Florida sheriff defended his decision not to arrest a white shooting suspect who killed an unarmed black man. “I… https://t.co/6172xMTqXd,-0.6872,0.082,0.647,0.271
196,@cnn,2018-08-01 14:02:00+00:00,96,"On a hillside in Vietnam, giant hands extend, holding a new steel bridge that has attracted scores of visitors sinc… https://t.co/SUBwF7KOVa",0.5423,0.209,0.791,0.0
496,@FoxNews,2018-08-01 15:18:00+00:00,96,".@HeyTammyBruce: Liberals still hysterical over Hillary Clinton's loss get their own 'disease' 
https://t.co/phlm9nxLI9",-0.34,0.0,0.764,0.236
396,@CBSNews,2018-08-01 08:03:03+00:00,96,"What to know about Ron DeSantis, GOP Florida gubernatorial candidate https://t.co/8vZPwLKKo9 https://t.co/uibBxdroiX",0.0,0.0,1.0,0.0
295,@BBCWorld,2018-07-31 02:40:07+00:00,95,"RT @AboutTheBBC: More women than ever before are watching, reading and listening to the BBC in #Afghanistan, thanks to @BBCWorldService htt…",0.4404,0.127,0.873,0.0
195,@cnn,2018-08-01 14:15:18+00:00,95,"Cody Wilson fired the first fully 3D printed gun in 2013. Not long after, he posted the blueprint for the weapon to… https://t.co/ETorfONhIu",-0.8158,0.0,0.703,0.297
95,@nytimes,2018-08-01 03:02:02+00:00,95,"The small town of Blandford, Massachusetts, lost its entire police force when all 4 officers quit, saying their job… https://t.co/oFancYvdKO",-0.3182,0.0,0.887,0.113
395,@CBSNews,2018-08-01 08:18:03+00:00,95,Upstate New York couple married for 78 years dies 2 days apart https://t.co/1LxmWrbhBV https://t.co/FkeZTaTMFy,0.0,0.0,1.0,0.0
495,@FoxNews,2018-08-01 15:20:51+00:00,95,Maxine Waters hit with FEC complaint over mailer money https://t.co/UDSNhxqgcM,-0.296,0.0,0.804,0.196
394,@CBSNews,2018-08-01 08:33:03+00:00,94,Vogue reportedly gave Beyoncé editorial control of September cover and feature https://t.co/PSTTgVVJYQ https://t.co/szUBw2SGCy,0.0,0.0,1.0,0.0
194,@cnn,2018-08-01 14:24:30+00:00,94,President Trump calls on Attorney General Jeff Sessions to end special counsel Robert Mueller's investigation of Ru… https://t.co/vgNUlIyhCB,0.4019,0.137,0.863,0.0
94,@nytimes,2018-08-01 03:17:05+00:00,94,RT @NYTFashion: One-piece swimsuits are more stylish anyway! https://t.co/aWY2lGcFnM,0.0,0.0,1.0,0.0
494,@FoxNews,2018-08-01 15:32:35+00:00,94,Deadly Northern California fire 35% contained; @Jeff_Journalist reports. https://t.co/scZo32yCnL,-0.34,0.0,0.769,0.231
294,@BBCWorld,2018-07-31 03:16:41+00:00,94,Backpackers attacked with shovel in Australian bush https://t.co/ZuioxsSWKf,-0.4588,0.0,0.7,0.3
393,@CBSNews,2018-08-01 08:48:03+00:00,93,"ISIS claims attack on cyclists in Tajikistan, releases video of purported cell https://t.co/YyFe7WmoPI https://t.co/kJGKlLxWep",-0.4767,0.0,0.807,0.193
193,@cnn,2018-08-01 14:35:00+00:00,93,"When he noticed a teen with autism was interested in what he was doing, this grocery store worker let him help stoc… https://t.co/cZkwiozAnZ",0.6597,0.213,0.787,0.0
93,@nytimes,2018-08-01 03:32:03+00:00,93,"The remains of a Tuskegee Airman whose plane went down in 1944 have been identified, ending his daughter's quest fo… https://t.co/oKEJOv2y3S",0.0,0.0,1.0,0.0
493,@FoxNews,2018-08-01 15:35:00+00:00,93,".@newtgingrich: ""84% of the American people believe sanctuary cities increase crime. 84%. Now, every Democrat in th… https://t.co/NmPOp2vJp4",-0.296,0.106,0.734,0.161
293,@BBCWorld,2018-07-31 03:37:41+00:00,93,Lombok earthquake: 543 hikers evacuated from Mt Rinjani https://t.co/osNkO31id8,0.0,0.0,1.0,0.0
192,@cnn,2018-08-01 14:42:03+00:00,92,"Apple is this close to $1,000,000,000,000 https://t.co/egELuDwvDr https://t.co/Ogsk6BcZeY",0.0,0.0,1.0,0.0
492,@FoxNews,2018-08-01 15:43:47+00:00,92,".@CoryGardner: ""We have to continue this doctrine of maximum pressure."" https://t.co/rRXTed1c97",0.0,0.0,1.0,0.0
292,@BBCWorld,2018-07-31 05:49:49+00:00,92,False widow spider 'devours' native lizard https://t.co/JRGZdGVoCd,0.0,0.0,1.0,0.0
392,@CBSNews,2018-08-01 08:54:06+00:00,92,Korean War remains to head for Hawaii after repatriation ceremony https://t.co/oPIF5PqC8l https://t.co/uH7LTrP3g7,-0.5994,0.0,0.738,0.262
92,@nytimes,2018-08-01 03:47:02+00:00,92,"Aloha Poke Co., which sent cease-and-desist letters to restaurants with similar names, has apologized after being a… https://t.co/7panJw26ec",0.3182,0.119,0.881,0.0
491,@FoxNews,2018-08-01 15:49:00+00:00,91,"On @AmericaNewsroom​, @SteveHiltonx pushed back on those accusing President Donald J. Trump​ of starting a trade wa… https://t.co/R5u9CwnilQ",-0.1779,0.0,0.904,0.096
291,@BBCWorld,2018-07-31 07:02:10+00:00,91,Does the death penalty deter rape in India? https://t.co/x214kpsRsn,-0.9118,0.0,0.341,0.659
191,@cnn,2018-08-01 14:50:16+00:00,91,"A top Australian supermarket is dropping plans to charge for plastic bags, saying shoppers have struggled to adjust… https://t.co/guI78f6NNh",-0.1531,0.089,0.792,0.119
391,@CBSNews,2018-08-01 09:03:03+00:00,91,MoviePass outages send stock plunging https://t.co/2vtBlNGSmJ https://t.co/tE0qOEeMfP,0.0,0.0,1.0,0.0
91,@nytimes,2018-08-01 03:53:29+00:00,91,"Nationals 25, Mets 4: Mets Endure Most Lopsided Defeat in Franchise History https://t.co/TyukKqbwRD",-0.507,0.0,0.785,0.215
90,@nytimes,2018-08-01 04:07:03+00:00,90,"""This is really frightening if this is the new normal,"" said an energy industry analyst in Norway https://t.co/nMwkPhsTjq",-0.3384,0.097,0.741,0.162
290,@BBCWorld,2018-07-31 07:14:46+00:00,90,"RT @BBCNewsbeat: Fans have praised Chrissy Teigan for showing her 'mom bod' 🙌
https://t.co/H21BRMFeYr",0.4939,0.211,0.789,0.0
490,@FoxNews,2018-08-01 15:56:00+00:00,90,"On @AmericaNewsroom, @newtgingrich slammed liberals for not acknowledging President @realDonaldTrump's economic acc… https://t.co/mrkzyu0vQd",0.0,0.0,1.0,0.0
390,@CBSNews,2018-08-01 09:18:03+00:00,90,Rihanna becomes first black woman to grace cover of British Vogue's September issue https://t.co/EJfNGnM2eH https://t.co/DGvILpf04Y,0.4215,0.167,0.833,0.0
190,@cnn,2018-08-01 15:00:12+00:00,90,This app works like Tinder -- for female friendships https://t.co/pURh149lOF https://t.co/ILPAEBlsuV,0.6249,0.362,0.638,0.0
89,@nytimes,2018-08-01 04:20:30+00:00,89,Mueller Passes 3 Cases Focused on Illicit Foreign Lobbying to Prosecutors in New York https://t.co/8mva7NrkBl,0.3182,0.164,0.755,0.082
489,@FoxNews,2018-08-01 16:04:22+00:00,89,"Mollie Tibbetts' dad urges any witness to 'come forward,' says 'somebody knows something' https://t.co/FdHdLIFAvT",0.0,0.0,1.0,0.0
389,@CBSNews,2018-08-01 09:32:04+00:00,89,Chipotle reopens Ohio eatery possibly linked to illnesses https://t.co/BF7LqeziN6 https://t.co/SF8kdX0Ae1,-0.4939,0.0,0.738,0.262
189,@cnn,2018-08-01 15:10:05+00:00,89,A bipartisan group of senators is demanding twice-monthly updates on family reunification from the Trump administra… https://t.co/lK0Nok54Vm,-0.2263,0.0,0.888,0.112
289,@BBCWorld,2018-07-31 07:47:23+00:00,89,India telecom chief denies losing dare to hackers https://t.co/VjFUWULMcW,-0.6597,0.0,0.565,0.435
388,@CBSNews,2018-08-01 09:39:06+00:00,88,Bugs and bark help Boy Scout survive nearly 37 hours alone in Wyoming wilderness https://t.co/OXY1haMaPg https://t.co/D5e0o6MRnd,0.1779,0.144,0.749,0.107
88,@nytimes,2018-08-01 04:22:01+00:00,88,"RT @NYTNational: ⚡️ “Scorched Earth and Smoky Sky: What a California Wildfire Leaves Behind”

https://t.co/egXccw8EkH",0.0,0.0,1.0,0.0
188,@cnn,2018-08-01 15:22:02+00:00,88,A man cheated with someone else's wife and now it'll cost him $8.8 million https://t.co/8Vdw43XwMM https://t.co/vTSQ2xRfBJ,-0.5106,0.0,0.809,0.191
488,@FoxNews,2018-08-01 16:23:06+00:00,88,"Mollie Tibbetts' dad urges any witness to 'come forward,' says 'somebody knows something' - via @CristinaCorbin… https://t.co/buLFTOMItn",0.0,0.0,1.0,0.0
288,@BBCWorld,2018-07-31 07:52:33+00:00,88,New Zealand sexist road sign changed by seven-year-old girl https://t.co/ooHEslKjhD,0.0,0.0,1.0,0.0
87,@nytimes,2018-08-01 04:42:05+00:00,87,An astrophysicist finds even more evidence for climate change on Earth — in outer space https://t.co/KlN43UsIg7,0.0,0.0,1.0,0.0
187,@cnn,2018-08-01 15:30:08+00:00,87,"An average of 200 Nicaraguans a day are applying for asylum in neighboring Costa Rica, overwhelming the nation's im… https://t.co/gIpvSm2Dig",0.0,0.0,1.0,0.0
287,@BBCWorld,2018-07-31 08:57:57+00:00,87,Zimbabwe election: Mnangagwa and Chamisa both upbeat https://t.co/42xf894DGv,0.0,0.0,1.0,0.0
387,@CBSNews,2018-08-01 09:48:04+00:00,87,"Young cancer patient goes viral with ""In My Feelings"" dance video https://t.co/iJWMPdwcaY https://t.co/WpkTN4wTwC",-0.6597,0.0,0.732,0.268
487,@FoxNews,2018-08-01 16:24:20+00:00,87,".@DavidAsmanfox: ""We just had a wage figure increase of 2.8%. We haven't had an increase like that in 10 years.""… https://t.co/qmxGGGg9TV",0.7269,0.295,0.705,0.0
186,@cnn,2018-08-01 15:40:08+00:00,86,"President Trump used an odd example Tuesday night to call for stronger voter ID laws, saying that identification is… https://t.co/E5cRRECoGh",0.0772,0.114,0.786,0.1
86,@nytimes,2018-08-01 05:02:05+00:00,86,"RT @nytopinion: Ida B. Wells, anti-lynching champion, finally gets her name on a street in Chicago. https://t.co/ZgF34gZoqc",0.7096,0.296,0.704,0.0
386,@CBSNews,2018-08-01 10:03:03+00:00,86,U.S. military boosts troop security after deadly Niger ambush https://t.co/LtrpdNzcPR https://t.co/InS4NNPuoY,0.5719,0.343,0.657,0.0
486,@FoxNews,2018-08-01 16:25:22+00:00,86,Missing college student Mollie Tibbetts' boyfriend tells Fox News Channel of residents in the small Iowa town: 'You… https://t.co/yhE1cHS8CZ,-0.296,0.0,0.891,0.109
286,@BBCWorld,2018-07-31 09:21:52+00:00,86,"Miss Helen, shark stolen in a pram, recovering in US aquarium https://t.co/jPxIarATwO",-0.5859,0.0,0.652,0.348
285,@BBCWorld,2018-07-31 10:11:57+00:00,85,"The battle to stop former Islamic State fighters getting to Europe 

https://t.co/FFeNmOa2ne https://t.co/pUFcKzoKaS",-0.6124,0.0,0.625,0.375
85,@nytimes,2018-08-01 05:19:44+00:00,85,"His mother ran toward him, her heart racing. ""I cried and hugged him — but he didn't even care. He stood there froz… https://t.co/nO4UfYyt5K",-0.5255,0.068,0.738,0.193
485,@FoxNews,2018-08-01 16:26:47+00:00,85,".@HARRISFAULKNER: ""@TheDemocrats right now are struggling to figure out who their base is."" #Outnumbered https://t.co/C2SOPrzmeL",-0.4215,0.0,0.833,0.167
385,@CBSNews,2018-08-01 10:15:33+00:00,85,A federal judge issued a temporary restraining order to block access to the 10 blueprints that detail how to make 3… https://t.co/7CV5C0xk5e,-0.4404,0.0,0.868,0.132
185,@cnn,2018-08-01 15:50:05+00:00,85,"With $1,000 in cash and a handwritten apology, a former waitress is trying to make things right after stealing mone… https://t.co/OezH20h6Vn",-0.5423,0.055,0.776,0.169
284,@BBCWorld,2018-07-31 10:21:49+00:00,84,Southern Agricultural Show: 'Special' bull named supreme champion https://t.co/3GyOfgeXkj,0.8176,0.517,0.483,0.0
484,@FoxNews,2018-08-01 16:31:52+00:00,84,".@SenSchumer: ""The fly in the ointment here, of course, is @POTUS."" https://t.co/GzSiNiGfv6",0.0,0.0,1.0,0.0
384,@CBSNews,2018-08-01 10:19:52+00:00,84,Washington @Nationals set team scoring record after beating the New York @Mets by 21 runs Tuesday night… https://t.co/HAnts6FENT,-0.4588,0.0,0.85,0.15
184,@cnn,2018-08-01 16:00:09+00:00,84,The Trump Tower meeting: A timeline https://t.co/gKsDVfaBUH https://t.co/VoiAoV1xKY,0.0,0.0,1.0,0.0
84,@nytimes,2018-08-01 05:36:50+00:00,84,"Florida has an algae problem, and it’s big. A toxic bloom in the waters off the state’s southwestern coast is killi… https://t.co/jYlp7XXndg",-0.4019,0.0,0.881,0.119
483,@FoxNews,2018-08-01 16:41:08+00:00,83,Trump urges Attorney General Sessions to end Russia probe https://t.co/s7RZvoad0O,0.0,0.0,1.0,0.0
283,@BBCWorld,2018-07-31 10:42:08+00:00,83,Dareen Tatour: Israeli Arab poet sentenced for incitement https://t.co/6GLhP5wyDF,-0.0258,0.0,0.879,0.121
83,@nytimes,2018-08-01 05:56:33+00:00,83,"News of Laos Dam Failure Didn’t Reach Them, but the Water Did https://t.co/23TWO65fyh",-0.2732,0.074,0.775,0.151
383,@CBSNews,2018-08-01 10:28:38+00:00,83,"RT @CBSThisMorning: THIS MORNING: 
🔜@michaeljmorell on Facebook's discovery of fake accounts 
🔜@michaeljfoxorg's @racheldolhunmd discusses…",-0.4767,0.0,0.807,0.193
183,@cnn,2018-08-01 16:10:07+00:00,83,"A child's brain repaired itself after a full third of the right hemisphere was surgically removed, rewiring itself… https://t.co/l4Jvv0AuLs",0.0,0.0,1.0,0.0
82,@nytimes,2018-08-01 06:02:05+00:00,82,RT @nytimesworld: Rumors are swirling in Tehran that secret talks with the United States may already be under way. The foreign minister of…,0.4215,0.113,0.887,0.0
282,@BBCWorld,2018-07-31 10:52:03+00:00,82,Colombia shoot-out kills eight in area hit by rebel feud https://t.co/IgOq5ouXWL,-0.7579,0.0,0.516,0.484
182,@cnn,2018-08-01 16:20:12+00:00,82,"Kroger is launching ""Kroger Ship,"" a direct home delivery service, in four cities: Cincinnati, Houston, Louisville,… https://t.co/8sMmgVTBcO",0.0,0.0,1.0,0.0
482,@FoxNews,2018-08-01 16:48:37+00:00,82,".@newtgingrich: 'Good Chance' Manafort Wins at Trial, Making Mueller 'Look Like a Fool'
https://t.co/cuknpy32AY",0.802,0.505,0.364,0.132
382,@CBSNews,2018-08-01 10:29:52+00:00,82,AHEAD on @CBSThisMorning: We'll talk to former CIA insider @MichaelJMorell about a new coordinated campaign on Face… https://t.co/50HVbHd3li,0.0,0.0,1.0,0.0
381,@CBSNews,2018-08-01 10:39:55+00:00,81,Korean War remains to head for Hawaii after repatriation ceremony https://t.co/bspKk5NHUX https://t.co/GNUZEk2Vck,-0.5994,0.0,0.738,0.262
81,@nytimes,2018-08-01 06:19:32+00:00,81,"New Jersey, in a first-of-its-kind initiative, has set aside millions to pay for community journalism. ""It’s one of… https://t.co/o3Tq6hcRD4",-0.1027,0.0,0.924,0.076
181,@cnn,2018-08-01 16:30:06+00:00,81,Trump just went there on Jeff Sessions and the Russia investigation | Analysis by @CillizzaCNN… https://t.co/qWwNQiVKWl,0.0,0.0,1.0,0.0
281,@BBCWorld,2018-07-31 11:24:12+00:00,81,Kenya's Tourism Minister sorry for saying 'go to hell' https://t.co/rj3SDevE6f,-0.7096,0.0,0.576,0.424
481,@FoxNews,2018-08-01 16:57:04+00:00,81,"NEWS ALERT: Awaiting @WhiteHouse press briefing - For full live coverage, tune in to Fox News Channel! https://t.co/ZsutH2TlSS",0.4981,0.168,0.832,0.0
80,@nytimes,2018-08-01 06:36:50+00:00,80,There it was: Glowering red on the dashboard of the sky like an astrological warning light next to the full Blood M… https://t.co/h16wlMDCnI,0.0258,0.097,0.811,0.093
180,@cnn,2018-08-01 16:42:05+00:00,80,"The GDP report was great. Now what? Tune in to @CNNMoney's ""Markets Now"" at 12:45 p.m. ET to hear economist Lindsey… https://t.co/VwoJPKFumj",0.6249,0.163,0.837,0.0
380,@CBSNews,2018-08-01 10:45:25+00:00,80,"One day after actor @AlanAlda revealed his Parkinson's diagnosis on @CBSThisMorning, we'll get an update on the eff… https://t.co/5eMWbIKnnM",0.0,0.0,1.0,0.0
480,@FoxNews,2018-08-01 17:08:17+00:00,80,A crowd of early-risers gather near the summit of Cadillac Mountain in Acadia National Park to be among the first i… https://t.co/YF4Tycn384,0.0,0.0,1.0,0.0
280,@BBCWorld,2018-07-31 12:01:26+00:00,80,Stranded Russian climber rescued after six-day ordeal in Pakistan https://t.co/oi8qbSW2yj,0.4215,0.237,0.763,0.0
379,@CBSNews,2018-08-01 10:59:33+00:00,79,"Top Putin foe ramps up ""Dossier"" project to spill Russians' secrets https://t.co/9YAvs2hxpA https://t.co/1CQDwDSQZN",-0.2732,0.115,0.701,0.185
479,@FoxNews,2018-08-01 17:13:32+00:00,79,A fire crew from San Luis Obispo County keeps an eye on an advancing wildfire from the perimeter of a residence Tue… https://t.co/z2KTzOvVjY,-0.34,0.0,0.893,0.107
279,@BBCWorld,2018-07-31 12:08:32+00:00,79,Italian athlete Osakue fears climate of violence after attack https://t.co/QBjyCyfn2V,-0.875,0.0,0.412,0.588
179,@cnn,2018-08-01 16:44:03+00:00,79,“I lead a very moderate life. I don’t do anything in excess. I don’t eat food until I get fat and that kind of thin… https://t.co/IF1c4dExrt,0.0,0.0,1.0,0.0
79,@nytimes,2018-08-01 07:05:06+00:00,79,One Cambodian voter defaced his or her ballot with a lively reference to a dog’s anatomy. Others ticked every singl… https://t.co/eJrY025AvH,0.0258,0.128,0.749,0.123
478,@FoxNews,2018-08-01 17:15:16+00:00,78,".@SenatorRisch: ""People need to be very, very careful about what they believe when they're on the Internet.""… https://t.co/Oo612QJjym",0.2895,0.113,0.887,0.0
278,@BBCWorld,2018-07-31 12:23:52+00:00,78,Iranians criticise Trump's offer of talks https://t.co/NjlnmBuHcU,-0.4404,0.0,0.674,0.326
78,@nytimes,2018-08-01 07:18:06+00:00,78,RT @PekingMike: Important story on some pushback against Xi - must read. By ⁦@ChuBailiang⁩  https://t.co/FRa3dyxP4Q,0.2023,0.122,0.878,0.0
378,@CBSNews,2018-08-01 11:19:47+00:00,78,Aeroméxico Flight 2431 was carrying 99 passengers and four crew members when it went down in northern Mexico and bu… https://t.co/azel346Hki,0.0,0.0,1.0,0.0
178,@cnn,2018-08-01 16:50:01+00:00,78,Women in various parts of South Africa have taken to the streets to protest the increasing levels of gender-based v… https://t.co/e2yXqzHDKn,-0.25,0.0,0.909,0.091
477,@FoxNews,2018-08-01 17:24:21+00:00,77,".@GOPChairwoman: ""Complacency is the enemy of the party that takes the @WhiteHouse... Complacency is what we're mos… https://t.co/fU0wxwuQId",-0.2023,0.122,0.721,0.158
377,@CBSNews,2018-08-01 11:40:12+00:00,77,"President Trump says the time has come for voter ID requirements because if ""you want to buy groceries you need a p… https://t.co/uU6ym9Pemu",0.0772,0.058,0.942,0.0
277,@BBCWorld,2018-07-31 12:33:58+00:00,77,Düsseldorf neo-Nazi attack: Defendant acquitted of bomb blast https://t.co/J4AssUv1gj,-0.6486,0.14,0.42,0.441
177,@cnn,2018-08-01 17:00:18+00:00,77,Facebook and Instagram now reveal how much time you spend in each app https://t.co/GLWAJsGHjU https://t.co/RGrNJ5eX4d,0.0,0.0,1.0,0.0
77,@nytimes,2018-08-01 07:18:31+00:00,77,China’s Plan to Win Friends and Influence Includes Ski Slopes and Spas https://t.co/xK8ySAhcMY,0.7845,0.385,0.615,0.0
276,@BBCWorld,2018-07-31 12:36:38+00:00,76,Romanian police confiscate anti-government number plates https://t.co/nfC81DCEZ1,0.0772,0.178,0.822,0.0
176,@cnn,2018-08-01 17:05:01+00:00,76,"Tesla has successfully positioned itself as the future of automobiles. But in the present, Tesla doesn't make many… https://t.co/wENwlfhKgN",0.4939,0.151,0.849,0.0
376,@CBSNews,2018-08-01 11:47:40+00:00,76,"RT @CBSThisMorning: A federal judge is temporarily blocking a gun rights organization from publishing blueprints for 3D-printed guns.

In a…",-0.6124,0.0,0.762,0.238
76,@nytimes,2018-08-01 07:32:06+00:00,76,"""You started understanding the life of the people, how they lived, what they thought, who they loved"" https://t.co/D64VSN8vlm",0.5994,0.187,0.813,0.0
476,@FoxNews,2018-08-01 17:24:59+00:00,76,".@GOPChairwoman: ""We need [@POTUS] on the trail to help us win in these midterms."" #OutnumberedOT https://t.co/xG8YTgz2wT",0.7579,0.317,0.683,0.0
375,@CBSNews,2018-08-01 11:53:56+00:00,75,"RT @CBSThisMorning: ""I believe that I am championing the second amendment in the 21st century."" -- @Radomysisky 

You think that's good for…",0.6908,0.231,0.769,0.0
175,@cnn,2018-08-01 17:10:06+00:00,75,A white police officer in Michigan who says he was taunted by fellow officers when he told them that he was part bl… https://t.co/nSQdPfU7sH,0.0,0.0,1.0,0.0
75,@nytimes,2018-08-01 07:47:02+00:00,75,RT @nytopinion: Exploiting my family by having my sister disown me on state television was by far Iran's most ferocious attempt to shame me…,-0.7713,0.0,0.732,0.268
275,@BBCWorld,2018-07-31 12:46:06+00:00,75,Did MI5 miss chance to catch Manchester Arena bomber Salman Abedi? https://t.co/u7PPXhALlv,0.1027,0.147,0.735,0.118
475,@FoxNews,2018-08-01 17:26:41+00:00,75,".@GOPChairwoman: ""This list is more interesting for the omissions than for the people that [@BarackObama] put on it… https://t.co/tUUVYmKD5c",0.4576,0.143,0.857,0.0
374,@CBSNews,2018-08-01 12:00:23+00:00,74,"""Traumatic"" or ""summer camp""? Officials offer different views on family separation: https://t.co/uYLxF37pCd https://t.co/1hKhCC8uyW",0.0,0.0,1.0,0.0
