,User,Date,Tweet Count,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score
74,@nytimes,2018-08-01 08:02:02+00:00,74,"""Among everyone caught up in the #MeToo movement, only Mr. Moonves was so bold — or so reckless — as to start a civ… https://t.co/C91XUrI0So",0.0959,0.128,0.759,0.114
174,@cnn,2018-08-01 17:20:44+00:00,74,"He lost his home in the California wildfires. But in the ashes, there was a priceless family heirloom.… https://t.co/FZA8bznAi9",-0.3182,0.0,0.881,0.119
474,@FoxNews,2018-08-01 17:27:26+00:00,74,".@GOPChairwoman: ""We look at 2016 and we recognize it was a repudiation of @BarackObama... I don't think a lot of c… https://t.co/IFHiiIW1bH",0.0,0.0,1.0,0.0
274,@BBCWorld,2018-07-31 12:53:23+00:00,74,German heatwave causes beer bottle shortage as sales surge https://t.co/62E1UN4pIv,-0.25,0.0,0.818,0.182
173,@cnn,2018-08-01 17:30:08+00:00,73,"A plane carrying 103 people crashed, then burned in Mexico and no one died https://t.co/zxwDOalDSg https://t.co/mWAVDZxNo8",-0.7003,0.0,0.691,0.309
73,@nytimes,2018-08-01 08:15:06+00:00,73,"RT @nytimesworld: “I don’t think the government realizes how bad the drought is,” one Australian cattle farmer said. “Farmers are past the…",-0.5423,0.0,0.857,0.143
373,@CBSNews,2018-08-01 12:02:43+00:00,73,"RT @CBSThisMorning: ""What I'm doing is legally protected... I will go to the appellate level, I will go to the Supreme Court. I will waste…",0.6124,0.2,0.8,0.0
473,@FoxNews,2018-08-01 17:28:19+00:00,73,".@GOPChairwoman on the Democratic Party: ""It's a divided party now. They're going further and further left.""… https://t.co/TQdKewi5IU",0.6597,0.278,0.722,0.0
273,@BBCWorld,2018-07-31 13:06:21+00:00,73,'Bigfoot erotica' row turns Virginia congressional race ugly https://t.co/pdYtm6gON8,-0.5106,0.0,0.708,0.292
272,@BBCWorld,2018-07-31 13:26:28+00:00,72,Slovakia alarmed by pro-Putin Night Wolves bikers' base https://t.co/xkes4ataUX,-0.34,0.0,0.769,0.231
172,@cnn,2018-08-01 17:32:55+00:00,72,5 questions that could come up at today's White House press briefing: https://t.co/F7dPYgAi4u https://t.co/Xij2T3iJbI,0.0,0.0,1.0,0.0
72,@nytimes,2018-08-01 08:30:08+00:00,72,"""The touchpoint with ISIS is not by proximity to the caliphate but through the relationships they make online,"" sai… https://t.co/VAwrV6KNpQ",0.0,0.0,1.0,0.0
472,@FoxNews,2018-08-01 17:29:00+00:00,72,".@GOPChairwoman: ""@BarackObama didn't get anything done for 8 years that helped average working class families.""… https://t.co/RsgnohwF46",0.0,0.0,1.0,0.0
372,@CBSNews,2018-08-01 12:09:21+00:00,72,"RT @CBSThisMorning: ""There is nothing good that can come with Defense Distributed uploading these files.""  -- Po Murray, chairwoman of @New…",-0.6711,0.059,0.706,0.235
271,@BBCWorld,2018-07-31 13:38:57+00:00,71,Alaska Airlines: Gay man accuses company of discrimination https://t.co/37IMMxZbue,-0.34,0.0,0.769,0.231
371,@CBSNews,2018-08-01 12:09:25+00:00,71,RT @CBSThisMorning: .@Radomysisky argues it's impossible to police 3D-gun tech and believes he has a free speech right to publish the desig…,0.1779,0.133,0.763,0.104
171,@cnn,2018-08-01 17:34:02+00:00,71,"White House press secretary Sarah Sanders is holding a press briefing.

Watch on CNN: https://t.co/UYpqI3w42L 
Live… https://t.co/JPAmXGacvz",0.0,0.0,1.0,0.0
71,@nytimes,2018-08-01 08:46:05+00:00,71,RT @nytimesworld: 3 Russian journalists who were investigating the activities of a private security company were killed in the Central Afri…,-0.4767,0.1,0.711,0.188
471,@FoxNews,2018-08-01 17:31:36+00:00,71,".@GOPChairwoman: ""People want President Trump's endorsement more than they want President Obama's."" #OutnumberedOT https://t.co/oR0NfCkH1x",0.4404,0.308,0.692,0.0
70,@nytimes,2018-08-01 09:00:05+00:00,70,"Police say a Connecticut man used dating apps to hunt women, including a nurse he met through Tinder who was murder… https://t.co/lBWHxlaLq0",0.0,0.0,1.0,0.0
470,@FoxNews,2018-08-01 17:32:36+00:00,70,.@PressSec Sarah Sanders holds a @WhiteHouse press briefing. https://t.co/SSTYEFbRpp,0.0,0.0,1.0,0.0
370,@CBSNews,2018-08-01 12:09:30+00:00,70,"RT @CBSThisMorning: ""The guns are downloadable. The files are in the public domain you cannot take them back you can adjust your politics t…",0.0,0.0,1.0,0.0
170,@cnn,2018-08-01 17:40:00+00:00,70,Texans can now hitch a ride in this self-driving car as part of a pilot ride-sharing program https://t.co/21LiCE1bKP https://t.co/OT8xjOvzdc,0.0,0.0,1.0,0.0
270,@BBCWorld,2018-07-31 14:35:40+00:00,70,"RT @BBCNews: #HappyBirthdayHarryPotter!

This is how the boy wizard enchanted the world https://t.co/IUE40g5UtA https://t.co/nQQb1kjkMf",0.4389,0.182,0.818,0.0
369,@CBSNews,2018-08-01 12:09:53+00:00,69,"3D-printed gun blueprint maker Cody Wilson: ""I think access to the firearm is a fundamental human dignity. It's a f… https://t.co/fGjfAhFU2O",0.0772,0.122,0.769,0.109
169,@cnn,2018-08-01 17:44:56+00:00,69,"“It’s not an order, it’s the President’s opinion,” White House press secretary Sarah Sanders says about President T… https://t.co/TFeqQon1BW",0.0,0.0,1.0,0.0
469,@FoxNews,2018-08-01 17:32:41+00:00,69,"NEWS ALERT: Awaiting @WhiteHouse press briefing - For full live coverage, tune in to Fox News Channel! https://t.co/to9cui1hbd",0.4981,0.168,0.832,0.0
269,@BBCWorld,2018-07-31 14:37:16+00:00,69,Missing Malaysia flight MH370: Aviation chief quits over failings https://t.co/HMDmiqj3OJ,-0.6597,0.0,0.597,0.403
69,@nytimes,2018-08-01 09:15:08+00:00,69,Facebook said that it had identified a political influence campaign that was potentially built to disrupt the U.S.… https://t.co/wuePI6gIjl,0.0,0.0,1.0,0.0
168,@cnn,2018-08-01 17:50:00+00:00,68,A 10-year-old named Clark Kent just beat a record that Michael Phelps held for 23 years https://t.co/h8fec2cSss https://t.co/VDKXxfO9ns,0.0,0.0,1.0,0.0
468,@FoxNews,2018-08-01 17:48:09+00:00,68,.@PressSec: “The White House and FEMA have been actively monitoring the wildfires to ensure that federal assistance… https://t.co/NppvYEkMXo,0.5994,0.234,0.766,0.0
268,@BBCWorld,2018-07-31 15:27:59+00:00,68,Mexico's Popocatépetl volcano spews ash high into the sky https://t.co/iYESDgTIgj,0.0,0.0,1.0,0.0
368,@CBSNews,2018-08-01 12:19:38+00:00,68,"Thurman Blevins' family calls officers' account ""untrue"" and vows third-party investigation https://t.co/6c1qgfZCzU https://t.co/UVvT9sTitF",0.0,0.0,1.0,0.0
68,@nytimes,2018-08-01 09:32:05+00:00,68,The second-largest number of votes in Cambodia's general election went to a surprising beneficiary: no one https://t.co/jqco30UHC4,0.5106,0.314,0.58,0.106
67,@nytimes,2018-08-01 09:45:05+00:00,67,One construction firm used China's Belt and Road plan to justify a deal to build an amusement park in an Indonesian… https://t.co/kfqohSMqPG,0.3612,0.111,0.889,0.0
167,@cnn,2018-08-01 18:00:01+00:00,67,"On a hillside in Vietnam, giant hands extend, holding a new steel bridge that has attracted scores of visitors sinc… https://t.co/yGMEBIh3ti",0.5423,0.209,0.791,0.0
367,@CBSNews,2018-08-01 12:39:43+00:00,67,Thieves make motorboat getaway with Swedish crown jewels https://t.co/LJywUWpIRg https://t.co/OhTlfiL4MI,-0.0772,0.21,0.559,0.231
267,@BBCWorld,2018-07-31 15:38:52+00:00,67,"RT @BBCNorthAmerica: Have you been asked to relinquish your duties as a bridesmaid? Or, have you disinvited your bridesmaid or a guest from…",0.0,0.0,1.0,0.0
467,@FoxNews,2018-08-01 17:50:54+00:00,67,".@PressSec: “At the president’s direction, the Department of Treasury is sanctioning Turkey’s Minister of Justice a… https://t.co/6Rfv0qXXZy",0.6369,0.257,0.743,0.0
366,@CBSNews,2018-08-01 12:59:39+00:00,66,A former Playboy model who claims to have had an affair with a top fundraiser for President Trump wants him to pay… https://t.co/fpY21NWEWp,0.2023,0.083,0.917,0.0
166,@cnn,2018-08-01 18:04:17+00:00,66,The US Treasury Department is sanctioning Turkey's ministers of justice and interior in response to the detention o… https://t.co/8tN2FaYO2k,0.4019,0.219,0.675,0.105
466,@FoxNews,2018-08-01 17:54:14+00:00,66,.@PressSec: “The president is going to continue to hold China responsible for their unfair trade practices. This ha… https://t.co/88tPrwD83F,-0.2023,0.103,0.759,0.138
266,@BBCWorld,2018-07-31 15:41:32+00:00,66,"Disguised as a baby and stolen from an aquarium 🦈

Now Miss Helen the horn shark is back where she belongs https://t.co/W6oQaqiiY1",-0.7096,0.0,0.711,0.289
66,@nytimes,2018-08-01 10:00:09+00:00,66,Morning Briefing: Here's what you need to know to start your day https://t.co/q0Y7ThSrbe https://t.co/hlUo4wgDYx,0.0,0.0,1.0,0.0
265,@BBCWorld,2018-07-31 15:54:56+00:00,65,Full story: Shark 'recovering' after aquarium pram kidnap https://t.co/NjP7ki3LNh,0.0,0.0,1.0,0.0
165,@cnn,2018-08-01 18:10:06+00:00,65,A multi-state salmonella outbreak linked to pasta salad sold by Midwestern grocery store chain Hy-Vee has sickened… https://t.co/8MhfypGaIM,0.0,0.0,1.0,0.0
365,@CBSNews,2018-08-01 13:20:27+00:00,65,HEARTWARMING: This grocery store employee helped an autistic teen and is being praised for making his dreams come t… https://t.co/IDL6k9f0FZ,0.8668,0.364,0.636,0.0
65,@nytimes,2018-08-01 10:15:07+00:00,65,"Taiwan has been chosen as the first Asian host for the Oslo Freedom Forum, an international human rights conference  https://t.co/XChjLbVQe2",0.6369,0.181,0.819,0.0
465,@FoxNews,2018-08-01 18:02:14+00:00,65,"Bermuda Triangle mystery 'solved,' scientists claim https://t.co/tukmHC65Gg",0.0,0.0,1.0,0.0
264,@BBCWorld,2018-07-31 16:17:37+00:00,64,Florida paramedics 'racially profiled' dying woman https://t.co/Qc2Jm2KD8K,0.0,0.0,1.0,0.0
464,@FoxNews,2018-08-01 18:18:00+00:00,64,NJ brothers find 5 coveted 1952 Mickey Mantle cards in old collection https://t.co/Z0IbQAb5RS,0.0,0.0,1.0,0.0
64,@nytimes,2018-08-01 10:30:14+00:00,64,"Tommy Robinson, the jailed British far-right activist who has gained the support of figures like Stephen Bannon, wa… https://t.co/qTO1AlmNmq",0.5574,0.3,0.577,0.123
164,@cnn,2018-08-01 18:20:12+00:00,64,Chefs Guy Fieri and José Andrés are doing everything they can to help feed the evacuees and first responders to Cal… https://t.co/ANG3T8jVjJ,0.4019,0.114,0.886,0.0
364,@CBSNews,2018-08-01 13:35:20+00:00,64,"It's been a rough few days for big-cap technology stocks, but strong results from Apple on Tuesday pushed the stock… https://t.co/AfIhJIomtE",0.6652,0.19,0.81,0.0
163,@cnn,2018-08-01 18:30:19+00:00,63,"The Federal Reserve is holding interest rates steady, for now https://t.co/rOMrxB4z33 https://t.co/A1D7wNOtwY",0.4588,0.214,0.786,0.0
463,@FoxNews,2018-08-01 18:21:19+00:00,63,".@ChrisStirewalt on Obama not endorsing red state Dems: ""This is an arrogant thing to do...He should stand back and… https://t.co/isOh1vvowX",-0.4939,0.0,0.856,0.144
363,@CBSNews,2018-08-01 13:49:31+00:00,63,"A Canadian junior hockey player who survived a bus crash that killed 16 people, including many of his teammates, is… https://t.co/VNKG3sVwML",-0.5994,0.125,0.604,0.272
263,@BBCWorld,2018-07-31 16:31:23+00:00,63,"Car crush TV 😱

60 luxury vehicles destroyed in Philippines smuggling crackdown https://t.co/B7JqzYrWT8 https://t.co/dWA5sY3GsM",-0.7845,0.0,0.559,0.441
63,@nytimes,2018-08-01 10:40:06+00:00,63,"""The church is immersed in a deep crisis, and those who committed abuses against minors have to pay for those crime… https://t.co/z34sqali0m",-0.7906,0.074,0.603,0.323
62,@nytimes,2018-08-01 10:51:01+00:00,62,"RT @amyvirshup: Separated children at Cayuga Centers took the city by surprise, but in fact, it had been making itself into the biggest fos…",0.1406,0.063,0.937,0.0
262,@BBCWorld,2018-07-31 17:10:53+00:00,62,Vancouver man shoved into oncoming traffic https://t.co/FxaOTk1B7y,0.0,0.0,1.0,0.0
162,@cnn,2018-08-01 18:35:28+00:00,62,Wells Fargo has agreed to pay a $2.09 billion fine for issuing mortgage loans it knew contained incorrect income in… https://t.co/jNOHPXdnWi,0.5423,0.253,0.687,0.06
462,@FoxNews,2018-08-01 18:26:39+00:00,62,"Mom given emergency C-section without anesthesia, lawsuit claims https://t.co/5ggPnriLzc",-0.2344,0.148,0.621,0.231
362,@CBSNews,2018-08-01 14:04:44+00:00,62,Mother of missing Iowa college student recounts last text she sent to daughter https://t.co/Z5Avcoj9To https://t.co/NHYemRbMUZ,-0.296,0.0,0.864,0.136
261,@BBCWorld,2018-07-31 18:13:36+00:00,61,Central African Republic: Russian journalists die in ambush https://t.co/20UsopoIQL,-0.5994,0.0,0.672,0.328
161,@cnn,2018-08-01 18:40:03+00:00,61,"Former President Obama just endorsed 81 candidates running in the midterm elections, and his office says he's expec… https://t.co/E3Fl4zpawl",0.25,0.1,0.9,0.0
61,@nytimes,2018-08-01 11:01:07+00:00,61,"Sarah Hanson-Young, an Australian senator, filed a defamation suit against a fellow lawmaker who she says made a se… https://t.co/T25tppuKo6",0.0,0.0,1.0,0.0
361,@CBSNews,2018-08-01 14:19:44+00:00,61,"Inflation, tariffs are hitting consumers at the cash register https://t.co/45vWbtEWxX https://t.co/22v2Mv1YSb",0.0,0.0,1.0,0.0
461,@FoxNews,2018-08-01 18:36:12+00:00,61,"""I just got tired of how broken Washington is. You know, my view from 18,000 feet over Syria, Iraq and Afghanistan… https://t.co/b0ZEFqMYRH",-0.7184,0.0,0.769,0.231
260,@BBCWorld,2018-07-31 18:54:46+00:00,60,"RT @BBCNorthAmerica: Calling all mothers! We’re working on a video about going back to work after having a baby, and we want to hear about…",0.1511,0.067,0.933,0.0
60,@nytimes,2018-08-01 11:11:05+00:00,60,Robert Mueller has referred 3 investigations into possible illicit foreign lobbying to federal prosecutors in New Y… https://t.co/VQ1hkkwUwE,-0.0772,0.0,0.925,0.075
160,@cnn,2018-08-01 18:50:07+00:00,60,"Iran is readying a massive military exercise in Persian Gulf, US officials say https://t.co/909tp1Z6V8 https://t.co/wiBLCqcqJ0",0.0,0.0,1.0,0.0
360,@CBSNews,2018-08-01 14:34:53+00:00,60,President Trump called out for not leading effort to secure elections ahead of midterms https://t.co/cRvbG6rSWR https://t.co/unvuKOP0m2,0.34,0.138,0.862,0.0
460,@FoxNews,2018-08-01 18:37:53+00:00,60,State pension deficits - as of fiscal year 2016. https://t.co/l0B5tsW2Xx,0.0,0.0,1.0,0.0
359,@CBSNews,2018-08-01 14:49:53+00:00,59,Sergeant who alleged ridicule over genetic test showing he was part black settles case https://t.co/3wOp291CH1 https://t.co/NknVI1yzfV,-0.4588,0.0,0.833,0.167
459,@FoxNews,2018-08-01 18:39:50+00:00,59,President @realDonaldTrump is set to propose a 25-percent tariff on $200 billion of imported Chinese goods;… https://t.co/YzcySKD4gd,0.0,0.0,1.0,0.0
159,@cnn,2018-08-01 19:00:07+00:00,59,A new poll shows a tight race in the final days of a special election in Ohio https://t.co/V8JqZVieAl https://t.co/y7kjNhl9FA,0.4019,0.153,0.847,0.0
259,@BBCWorld,2018-07-31 19:01:02+00:00,59,The face behind a stock image: How I gave away my face for free https://t.co/30VPyr7uqN,0.5106,0.216,0.784,0.0
59,@nytimes,2018-08-01 11:20:08+00:00,59,Blueprints for making a variety of plastic guns on 3-D printers were scheduled to be posted online today. Here's a… https://t.co/spieYYWSZC,0.0,0.0,1.0,0.0
258,@BBCWorld,2018-07-31 19:44:26+00:00,58,The unlikely US box office stars https://t.co/28KqKfpark,0.0,0.0,1.0,0.0
458,@FoxNews,2018-08-01 18:46:31+00:00,58,".@AriFleischer on the economy: ""Inflation, unless it's rampant, doesn't hurt you as much as if your wages are not g… https://t.co/RItY1SsoAG",0.4168,0.122,0.878,0.0
358,@CBSNews,2018-08-01 15:04:52+00:00,58,"1 on 5 taxpayers withhold too little from paychecks, auditors say https://t.co/mvzJLCWKBV https://t.co/sEbZv02cM6",0.0,0.0,1.0,0.0
58,@nytimes,2018-08-01 11:30:07+00:00,58,"""They are expanding everything,"" an arms control expert said about North Korea. ""And to be fair, they have never sa… https://t.co/A0gVIHxCOF",0.3182,0.103,0.897,0.0
158,@cnn,2018-08-01 19:10:07+00:00,58,"16 of the largest wildfires burning in California have scorched 320,000 acres, authorities say -- an area larger th… https://t.co/afweka9SN3",0.0,0.0,1.0,0.0
357,@CBSNews,2018-08-01 15:19:45+00:00,57,"""Even after 18 months of study, we are still only scratching the surface when it comes to Russia's information warf… https://t.co/37K0X1P4kD",0.0,0.0,1.0,0.0
257,@BBCWorld,2018-07-31 21:10:47+00:00,57,'A horrendous battle': Dry conditions fuel California wildfires https://t.co/lipl6doKJX,-0.5859,0.0,0.678,0.322
157,@cnn,2018-08-01 19:20:05+00:00,57,"They were among the most ardent supporters of Brexit, but now some residents of this town are relishing a European… https://t.co/vHkaUpMhXX",0.7708,0.311,0.689,0.0
457,@FoxNews,2018-08-01 19:05:42+00:00,57,Minnesota speeders' bizarre excuses include a 99 mph Taco Bell run https://t.co/mnOkwStcoc,-0.3182,0.0,0.813,0.187
57,@nytimes,2018-08-01 11:44:04+00:00,57,"RT @nytopinion: Steven Mnuchin, the Treasury secretary, wants to give the superrich another huge tax break just months after Congress passe…",0.4767,0.177,0.823,0.0
156,@cnn,2018-08-01 19:30:11+00:00,56,Women in various parts of South Africa have taken to the streets to protest the increasing levels of gender-based v… https://t.co/qA1ASat313,-0.25,0.0,0.909,0.091
456,@FoxNews,2018-08-01 19:11:40+00:00,56,"RT @FoxNewsResearch: #Trump Admin Unraveling #Obamacare:
•June:
—DOJ no longer defending ACA in court
—Rule allows small biz, self-employed…",-0.296,0.0,0.891,0.109
256,@BBCWorld,2018-07-31 21:28:39+00:00,56,South Africa to amend constitution to allow land expropriation https://t.co/uPKuWAejmT,0.2263,0.174,0.826,0.0
56,@nytimes,2018-08-01 12:00:14+00:00,56,"Your daily @DealBook Briefing:

• Facebook flags midterm meddling.

• Apple sweats its way to $1 trillion.

• Googl… https://t.co/cLxoo92uGK",0.0,0.0,1.0,0.0
356,@CBSNews,2018-08-01 15:21:24+00:00,56,"RT @CBSSunday: DO NOTHING FOR TWO MINUTES

Take a few minutes, turn up the volume as we leave you among white-tailed deer near Ocala, Flori…",-0.0516,0.0,0.95,0.05
355,@CBSNews,2018-08-01 15:40:21+00:00,55,HEARTWARMING: This grocery store employee helped an autistic teen and is being praised for making his day… https://t.co/6gaWSUHIy5,0.7925,0.305,0.695,0.0
155,@cnn,2018-08-01 19:30:56+00:00,55,"RT @CNNnewsroom: ""I have every doubt those remains are of US military,"" says Mike Logan, the son of a Korean war vet who never returned hom…",-0.7506,0.0,0.782,0.218
455,@FoxNews,2018-08-01 19:16:21+00:00,55,JUST IN: Suspect identified in murder of George H.W. Bush's former doctor. https://t.co/Kw6T2RMplv,-0.7845,0.0,0.615,0.385
55,@nytimes,2018-08-01 12:14:04+00:00,55,"After a record level of turnover in the Trump administration, Stephen Miller has succeeded in surrounding himself w… https://t.co/hHX1naIkJR",0.4215,0.141,0.859,0.0
255,@BBCWorld,2018-07-31 21:42:30+00:00,55,"RT @BBCBreaking: Plane with at least 80 on board crashes in Mexican city of Durango, local media report https://t.co/BrNF7LDkq8",0.0,0.0,1.0,0.0
354,@CBSNews,2018-08-01 16:14:46+00:00,54,"Paul Manafort accused of amassing ""secret income."" Follow here for live updates from his trial… https://t.co/EwodY8bVSY",-0.296,0.0,0.872,0.128
254,@BBCWorld,2018-07-31 21:43:38+00:00,54,Airliner crashes in Mexico - reports https://t.co/4omqnDT7gZ,0.0,0.0,1.0,0.0
454,@FoxNews,2018-08-01 19:23:31+00:00,54,".@GOPChairwoman: ""People want President Trump's endorsement more than they want President Obama's."" #OutnumberedOT https://t.co/25iq3qFQHI",0.4404,0.308,0.692,0.0
154,@cnn,2018-08-01 19:40:04+00:00,54,Organizers of the 2018 African Senior Athletics Championships being held in Nigeria have come under fire over poor… https://t.co/LZ8FPHQXqa,0.2023,0.142,0.752,0.106
54,@nytimes,2018-08-01 12:30:09+00:00,54,Paul Manafort's trial on financial fraud charges opened on Tuesday with an effort by his defense team to deflect bl… https://t.co/LVww9IfjgB,-0.6597,0.059,0.709,0.232
53,@nytimes,2018-08-01 12:46:08+00:00,53,The Justice Department is investigating claims that drug companies doing business in Iraq knew that the free medici… https://t.co/Pd9GF3CFJA,0.7717,0.283,0.717,0.0
253,@BBCWorld,2018-07-31 22:01:07+00:00,53,Canada says it is using DNA websites to identify some migrants https://t.co/r0DMkoIp9M,0.0,0.0,1.0,0.0
453,@FoxNews,2018-08-01 19:27:36+00:00,53,A U.S. soldier salutes during a repatriation ceremony for the remains of U.S. soldiers killed in the Korean War and… https://t.co/j5g6buF2Im,-0.8555,0.0,0.669,0.331
353,@CBSNews,2018-08-01 16:29:54+00:00,53,Pres. Trump's tariffs are hurting the already struggling newspaper industry https://t.co/6iQczhKhUG https://t.co/l0blnZL8zq,-0.6705,0.0,0.645,0.355
153,@cnn,2018-08-01 19:50:04+00:00,53,A Florida sheriff defended his decision not to arrest a man who fatally shot another man during a heated argument n… https://t.co/GkXTZrm6n4,-0.6872,0.082,0.647,0.271
52,@nytimes,2018-08-01 13:00:10+00:00,52,Morning Briefing: Here's what you need to know to start your day https://t.co/OqaZ6IEwi0 https://t.co/IuucSqpyG5,0.0,0.0,1.0,0.0
452,@FoxNews,2018-08-01 19:35:15+00:00,52,"Former President @BarackObama endorses dozens of Dems, but snubs @Ocasio2018. (via @brookefoxnews) https://t.co/jvMelfeKcL",-0.5346,0.101,0.653,0.246
352,@CBSNews,2018-08-01 16:44:44+00:00,52,Fugitive extradited back to Arizona in border agent's 2010 slaying https://t.co/FJ6KtVm0qj https://t.co/4jHLJBiRJp,0.0,0.0,1.0,0.0
152,@cnn,2018-08-01 19:54:04+00:00,52,"""We believe that the investigation should be brought to a close. … Put up or shut up, what do you got?"" President T… https://t.co/BEsYDyJGNF",0.0,0.0,1.0,0.0
252,@BBCWorld,2018-07-31 22:47:08+00:00,52,US embassy in London auctions off toilet rolls and old goods https://t.co/L3AJUtNMDB,0.0,0.0,1.0,0.0
251,@BBCWorld,2018-07-31 23:03:24+00:00,51,Black Panther spin-off: How author Nnedi Okorafor found her identity https://t.co/ckuLR5VGzw,0.0,0.0,1.0,0.0
51,@nytimes,2018-08-01 13:15:06+00:00,51,"RT @nytlizrobbins: Cayuga Centers transformed from a modest upstate NY program, one that was struggling to keep kids safe, to the largest p…",0.0258,0.113,0.778,0.109
451,@FoxNews,2018-08-01 19:45:35+00:00,51,Ohio judge orders chatty defendant's mouth taped for sentencing https://t.co/pPQ28UeeBl,-0.1531,0.0,0.849,0.151
351,@CBSNews,2018-08-01 16:59:53+00:00,51,Tesla earnings: What to expect from the second quarter results https://t.co/SQxTqsHC8e https://t.co/hfEpUZHXPx,0.0,0.0,1.0,0.0
151,@cnn,2018-08-01 19:55:11+00:00,51,RT @AC360: Tonight on #fullcircle a survivor of Mexico's plane crash joins @AndersonCooper to talk about the terrifying experience and how…,-0.5994,0.097,0.656,0.247
450,@FoxNews,2018-08-01 19:46:15+00:00,50,RT @ShepNewsTeam: We will be live for today’s @FoxNews Afternoon Update on Facebook Watch with the latest on missing college student Mollie…,-0.296,0.0,0.905,0.095
350,@CBSNews,2018-08-01 17:14:40+00:00,50,"A group of self-proclaimed ""grannies"" is traveling 2,000 miles across the U.S. to the border with Mexico to protest… https://t.co/0JESgiRVEI",0.0,0.0,1.0,0.0
250,@BBCWorld,2018-07-31 23:05:54+00:00,50,Disinvited - the bridesmaids no longer needed https://t.co/J1GHxeizPL,-0.296,0.0,0.732,0.268
50,@nytimes,2018-08-01 13:30:08+00:00,50,There were no signs of foul play when a pregnant bottlenose dolphin washed up in Mississippi. Then they found the b… https://t.co/LwylbIyUc3,0.0516,0.102,0.805,0.093
150,@cnn,2018-08-01 20:00:25+00:00,50,"President Trump downplayed the allegations facing his former campaign chairman, Paul Manafort, by invoking notoriou… https://t.co/KaPr7kuMVv",0.0,0.0,1.0,0.0
